Date,Expense,Description,Category,Amount
01-01-2025,Reliance Fresh Shopping,Monthly grocery shopping with dal rice oil,Groceries,450
01-01-2025,Amul Milk,Fresh milk and curd for daily use,Groceries,85
02-01-2025,Sabji Mandi,Onion tomato potato cauliflower,Vegetable,120
02-01-2025,Dominos Pizza,Margherita pizza with friends,Food,340
03-01-2025,Ola Cab,Home to office morning ride,Taxi,65
03-01-2025,McDonald's,McAloo Tikki burger and fries,Food,180
04-01-2025,Mother Dairy,Milk bread butter cheese,Groceries,75
04-01-2025,Local Vegetable Vendor,Fresh green vegetables,Vegetable,95
05-01-2025,Uber Auto,Office to home evening,Taxi,45
05-01-2025,Haldiram's,Samosa and tea evening snack,Food,60
06-01-2025,Big Bazaar,Weekly grocery shopping,Groceries,380
06-01-2025,Street Food Stall,Pav bhaji and lassi,Food,85
07-01-2025,HP Petrol Pump,Full tank petrol for bike,Fuel,520
07-01-2025,Rapido Bike,Quick ride to market,Taxi,35
08-01-2025,Amul Parlour,Milk products and ice cream,Groceries,95
08-01-2025,Vegetable Market,Spinach beans carrots,Vegetable,110
09-01-2025,AutoRixa,Sarkhej Sanand,Taxi,20
09-01-2025,KFC,Zinger burger and chicken,Food,280
09-01-2025,Ola Cab,Late night ride home,Taxi,85
10-01-2025,Local Dairy,Fresh milk and yogurt,Groceries,65
10-01-2025,Subway,Veggie delite sandwich,Food,220
11-01-2025,Sabji Wala,Daily vegetables shopping,Vegetable,75
11-01-2025,Starbucks,Cappuccino and cookie,Food,320
12-01-2025,Mother Dairy,Milk and bread,Groceries,55
12-01-2025,Uber Cab,Airport drop service,Taxi,180
13-01-2025,More Supermarket,Monthly shopping,Groceries,420
13-01-2025,Chai Tapri,Tea and biscuits,Food,25
14-01-2025,HP Fuel Station,Bike refueling,Fuel,480
14-01-2025,Local Vendor,Fresh seasonal vegetables,Vegetable,90
15-01-2025,Amul Store,Daily dairy needs,Groceries,70
15-01-2025,Pizza Hut,Personal pan pizza,Food,250
15-01-2025,House Rent,Monthly house rent payment,Rent,12000
16-01-2025,Rapido,Short distance ride,Taxi,40
16-01-2025,Street Food,Dosa and coconut chutney,Food,65
17-01-2025,Vegetable Vendor,Green leafy vegetables,Vegetable,85
17-01-2025,Cafe Coffee Day,Coffee and sandwich,Food,180
18-01-2025,Mother Dairy,Milk butter and cheese,Groceries,90
18-01-2025,Ola Auto,Quick ride to bank,Taxi,55
19-01-2025,D-Mart,Bulk grocery shopping,Groceries,350
19-01-2025,Burger King,Whopper meal,Food,190
20-01-2025,Sabji Mandi,Weekly vegetable shopping,Vegetable,125
20-01-2025,Local Tea Stall,Evening tea and snacks,Food,35
21-01-2025,Shell Petrol Pump,Full tank fuel,Fuel,510
21-01-2025,Uber,Office to home,Taxi,70
22-01-2025,Amul Dairy,Fresh milk and curd,Groceries,80
22-01-2025,Momo Point,Chicken momos,Food,120
23-01-2025,Vegetable Market,Fresh vegetables,Vegetable,95
23-01-2025,Barista,Coffee and pastry,Food,160
24-01-2025,Mother Dairy,Daily milk supply,Groceries,65
24-01-2025,Ola Cab,Mall visit,Taxi,90
25-01-2025,Spencer's,Grocery shopping,Groceries,290
25-01-2025,Taco Bell,Mexican food,Food,200
26-01-2025,Sabji Wala,Republic Day vegetables,Vegetable,110
26-01-2025,Street Vendor,Pani puri and bhel,Food,45
27-01-2025,HP Fuel,Bike refueling,Fuel,470
27-01-2025,Rapido Bike,Quick delivery pickup,Taxi,30
28-01-2025,Amul Store,Milk and dairy products,Groceries,85
28-01-2025,Lucky Punjabi Dhaba,Dal makhani and roti,Food,150
29-01-2025,Local Vegetable Vendor,Fresh produce,Vegetable,80
29-01-2025,McDonald's,McVeggie burger,Food,140
30-01-2025,Mother Dairy,Monthly dairy shopping,Groceries,120
30-01-2025,Uber Auto,Short ride,Taxi,45
30-01-2025,Electricity Bill,Monthly electricity payment,Electricity,580
31-01-2025,Reliance Fresh,Month end groceries,Groceries,380
31-01-2025,Ram Idli Center,South Indian breakfast,Food,90
01-02-2025,Sabji Mandi,Fresh vegetables,Vegetable,115
01-02-2025,Cafe Coffee Day,Coffee meeting,Food,170
02-02-2025,Amul Parlour,Milk and ice cream,Groceries,95
02-02-2025,Ola Cab,Weekend outing,Taxi,120
03-02-2025,Big Bazaar,Weekend shopping,Groceries,340
03-02-2025,Dominos,Pizza party,Food,420
04-02-2025,HP Petrol,Fuel refill,Fuel,490
04-02-2025,Vegetable Vendor,Daily vegetables,Vegetable,85
05-02-2025,Mother Dairy,Fresh milk,Groceries,60
05-02-2025,Subway,Healthy lunch,Food,230
06-02-2025,Sabji Wala,Vegetable shopping,Vegetable,105
06-02-2025,Uber,Evening ride,Taxi,65
07-02-2025,Amul Store,Dairy products,Groceries,75
07-02-2025,KFC,Fried chicken,Food,320
08-02-2025,Local Vendor,Fresh vegetables,Vegetable,90
08-02-2025,Starbucks,Premium coffee,Food,280
09-02-2025,Mother Dairy,Milk and bread,Groceries,70
09-02-2025,Rapido,Quick ride,Taxi,40
10-02-2025,More Supermarket,Weekly shopping,Groceries,360
10-02-2025,Street Food,Vada pav and cutting chai,Food,55
11-02-2025,Shell Fuel,Bike refueling,Fuel,500
11-02-2025,Vegetable Market,Fresh produce,Vegetable,100
12-02-2025,Amul Dairy,Daily milk,Groceries,65
12-02-2025,Pizza Hut,Lunch treat,Food,290
13-02-2025,Sabji Mandi,Weekly vegetables,Vegetable,120
13-02-2025,Ola Auto,Market visit,Taxi,50
14-02-2025,Mother Dairy,Valentine's Day special,Groceries,85
14-02-2025,Romantic Dinner,Valentine's Day restaurant,Food,450
15-02-2025,Vegetable Vendor,Fresh vegetables,Vegetable,95
15-02-2025,Cafe Coffee Day,Coffee date,Food,240
15-02-2025,House Rent,Monthly rent payment,Rent,12000
16-02-2025,Amul Store,Dairy shopping,Groceries,80
16-02-2025,Uber Cab,Weekend ride,Taxi,110
17-02-2025,D-Mart,Bulk grocery shopping,Groceries,380
17-02-2025,McDonald's,Quick meal,Food,160
18-02-2025,HP Fuel,Petrol refill,Fuel,480
18-02-2025,Sabji Wala,Daily vegetables,Vegetable,85
19-02-2025,Mother Dairy,Fresh milk,Groceries,70
19-02-2025,Burger King,Evening meal,Food,210
20-02-2025,Vegetable Market,Seasonal vegetables,Vegetable,110
20-02-2025,Rapido Bike,Short ride,Taxi,35
21-02-2025,Amul Parlour,Milk and sweets,Groceries,90
21-02-2025,Lucky Punjabi Dhaba,North Indian meal,Food,180
22-02-2025,Sabji Mandi,Weekend vegetables,Vegetable,125
22-02-2025,Starbucks,Coffee and snacks,Food,310
23-02-2025,Mother Dairy,Daily dairy,Groceries,65
23-02-2025,Ola Cab,Evening outing,Taxi,95
24-02-2025,Spencer's,Grocery shopping,Groceries,320
24-02-2025,Street Food,Chaat and lassi,Food,70
